r,s,n,nt,NB,MST,MLB,EFT,M-C,M-A,HM-C,HM-A,O-C,O-A
7,1,35,5,128,1296.9830399999846,727.9564799999918,1012.4562719999929,1012.4562719999929,1012.4562719999929,1012.4562719999929,1012.4562719999929,1012.4562719999929,1012.4562719999929
28,4,35,5,128,1296.9830399999846,727.9564799999918,1073.2485519999896,1029.9608639999933,1349.3977599999973,1029.9608639999933,1349.3977599999973,1029.9608639999933,1294.858
7,1,220,10,128,5625.082879999934,1531.8886399999824,2823.54124799998,2861.9007039999838,2861.9007039999838,2861.9007039999838,2861.9007039999838,2861.9007039999838,2861.9007039999838
28,4,220,10,128,5625.082879999934,1531.8886399999824,2345.070103999982,2292.558223999986,2791.627759999998,2292.558223999986,2791.627759999998,2292.558223999986,2737.088
7,1,680,15,128,14398.955519999825,2335.8207999999727,6016.193975999975,5959.510511999949,5959.510511999949,5959.510511999949,5959.510511999949,5959.510511999949,5959.510511999949
28,4,680,15,128,14398.955519999825,2335.8207999999727,3527.26909599997,3421.129263999977,4233.85776,3421.129263999977,4233.85776,3421.129263999977,4179.318000000002
7,1,1540,20,128,29033.256959999402,3629.1571199999253,10986.12471200004,11347.49403999997,11347.49403999997,11347.49403999997,11347.49403999997,11347.49403999997,11347.49403999997
28,4,1540,20,128,29033.256959999402,3139.752959999963,4785.730535999954,4768.089087999963,5676.087759999999,4768.089087999963,5676.087759999999,4768.089087999963,5621.548000000002
7,1,35,5,1024,23743.288759999978,11265.66904799998,23743.28875999998,23743.28875999998,23743.28875999998,23743.28875999998,23743.28875999998,23743.28875999998,23743.28875999998
28,4,35,5,1024,23743.288759999978,11265.66904799998,20777.941408,20958.436927999992,20777.941408,21550.319759999926,20777.941408,21550.319759999926,20777.941408
7,1,220,10,1024,125515.55272000005,23866.973007999957,118729.16504000007,118729.16504000007,118729.16504000007,118729.16504000007,118729.16504000007,118729.16504000007,118729.16504000007
28,4,220,10,1024,125515.55272000005,23866.973007999957,53338.832592000006,59036.49621600002,53338.832592000006,60893.6229519999,53338.832592000006,60893.6229519999,53338.832592000006
7,1,680,15,1024,361114.4198800015,45139.30248500019,335927.15220000147,335927.15220000147,335927.15220000147,335927.15220000147,335927.15220000147,335927.15220000147,335927.15220000147
28,4,680,15,1024,361114.4198800015,36468.27696799994,107158.3644400001,114070.64568000006,107158.3644400001,114033.01776799995,107158.3644400001,114033.01776799995,107158.3644400001
7,1,1540,20,1024,786337.518239997,98292.18977999962,700267.3696799986,700686.3884959987,700686.3884959987,725792.3385919968,725792.3385919968,725792.3385919968,725792.3385919968
28,4,1540,20,1024,786337.518239997,49069.58092799991,207300.30348800015,213715.40641600004,207300.30348800015,213789.62613599983,207300.30348800015,213789.62613599983,207300.30348800015
