n,r,s,CCR,DAG,RUN,MLB,MST,HEFT,AUT,AUT PTI
1002,32,1,0.01,173,0,255.749608480399,997.962996141897,643.306979736907,646.09220371198,38.7395704046644
1002,32,1,0.01,173,1,265.78606338752,1013.15227526951,592.882900292184,589.903220010271,46.2743204397848
1002,32,1,0.01,173,2,252.467685674904,981.630172518445,613.748566450545,610.333726387596,44.5921834796881
1002,32,1,0.01,173,3,254.47673717669,1050.12227174728,621.828308416118,626.03664534994,41.7469631647831
1002,32,1,0.01,173,4,257.778934063384,982.271347516596,628.586336176952,633.636095572972,40.1496289942195
1002,32,1,0.01,173,5,266.925099385917,1025.80660027647,632.890190274434,642.034911162986,47.5471139692797
1002,32,1,0.01,173,6,272.227431076072,1014.95953717892,637.69631014341,638.983699925458,45.241402885037
1002,32,1,0.01,173,7,238.476092316975,980.150339015476,634.755481621865,638.604606273098,44.0401312850154
1002,32,1,0.01,173,8,271.440558660037,1013.04912149733,601.223796264724,600.166888937757,47.4855407939776
1002,32,1,0.01,173,9,244.054338732073,1008.48131275562,667.138044276131,669.862603788652,44.0606689286685
1002,32,1,0.1,173,0,262.923700027474,982.862557402674,626.385025334352,626.989731563408,42.0384906199902
1002,32,1,0.1,173,1,270.475957052298,1014.8778902705,655.87391928142,657.623817935347,42.3370315945704
1002,32,1,0.1,173,2,275.331805057694,1042.28273661517,623.900746325909,624.909290656815,45.0036926255349
1002,32,1,0.1,173,3,287.622514367598,1071.17345245308,683.625283558515,687.741357972072,45.0168859919708
1002,32,1,0.1,173,4,258.333748909899,1000.28392483261,625.613108352741,630.963792344296,40.7629382511354
1002,32,1,0.1,173,5,280.701404626034,1089.1750249567,662.520193449689,666.925244293218,39.8565922006465
1002,32,1,0.1,173,6,269.41321156103,984.908624415874,638.676090047025,641.580675437417,49.9416990524416
1002,32,1,0.1,173,7,237.587182595508,962.522162008605,630.571026935363,630.56241423553,38.7783801963147
1002,32,1,0.1,173,8,245.094588369084,992.59970731765,623.164318227333,624.53302779547,39.6915018860529
1002,32,1,0.1,173,9,248.753462496396,1000.25335523997,629.571872596376,638.55300072104,42.6280124547328
1002,32,1,1,173,0,262.734637062626,982.215203663244,732.574527608412,732.015196934369,35.7149936479427
1002,32,1,1,173,1,261.891686148769,981.585619278772,753.96841821581,757.873029515957,32.9239279385638
1002,32,1,1,173,2,258.880317730794,1000.93469745106,739.879733617164,732.326767323508,34.3504746740397
1002,32,1,1,173,3,276.047941338386,1014.88703459137,771.200507858984,775.004677217063,31.8207937110271
1002,32,1,1,173,4,272.126485626099,951.904218807446,713.941319760075,715.241612275532,38.167052458309
1002,32,1,1,173,5,273.59389866774,1016.04166614809,755.207131051527,761.780678091788,32.6351204626233
1002,32,1,1,173,6,299.620888489329,1066.41215624622,793.087755729576,795.192091164583,35.1497002625691
1002,32,1,1,173,7,260.417282642014,998.095251121725,752.01625010932,753.535470634672,34.104933540562
1002,32,1,1,173,8,233.357924977295,921.561864747278,698.382191488614,699.050200644974,34.0621933645163
1002,32,1,1,173,9,262.617338892707,1000.57965139776,724.535431813197,718.807144227995,35.9256942859037
1002,32,1,10,173,0,277.542510669481,1012.94843144464,1019.89628578763,1011.01759416274,16.2090975921432
1002,32,1,10,173,1,259.018012621191,965.506116328582,961.80081540987,961.611176100039,18.9845977805028
1002,32,1,10,173,2,293.395179394905,1010.5882016913,1068.49084817735,1068.34283649032,10.741367823525
1002,32,1,10,173,3,274.845579519396,990.164312903573,988.359227334015,988.359227334015,19.4167154225793
1002,32,1,10,173,4,271.311438306934,991.92572695051,988.472069029608,987.610495936866,16.7141362103721
1002,32,1,10,173,5,285.352187308009,1005.3099254964,998.024933352609,989.770212038973,16.8627159305698
1002,32,1,10,173,6,272.973696676481,1010.58400794515,1007.44545078545,1002.54248719839,15.7382699670486
1002,32,1,10,173,7,299.565274634903,1061.43891338275,1094.54109029557,1079.15851524967,18.8125126535125
1002,32,1,10,173,8,267.631314718361,1016.64264965641,1069.95241124828,1068.70224398572,16.2845161527942
1002,32,1,10,173,9,267.293950158167,978.254759408452,978.729067451011,976.344725271017,17.2714721003981
1002,32,4,0.01,173,0,240.057425395923,945.694619042249,255.094467255199,243.433632561864,29.5424129630859
1002,32,4,0.01,173,1,254.027923711173,1004.48612781789,265.179625724758,259.983094937095,30.3659640814978
1002,32,4,0.01,173,2,249.22707301167,997.126772270727,259.251242513112,250.687194111432,30.8842235624136
1002,32,4,0.01,173,3,253.259371021179,970.643403114844,267.800511093059,258.409619947071,28.7905308264455
1002,32,4,0.01,173,4,261.346091978241,1018.95934695269,272.565506332462,264.778336603414,31.1690700653327
1002,32,4,0.01,173,5,255.323103827881,990.249021246174,264.620617623987,257.541096047508,27.7210262988677
1002,32,4,0.01,173,6,265.594011564748,1004.43452042933,278.736411130445,268.108135707352,30.9153096937018
1002,32,4,0.01,173,7,241.035555186926,998.400798403043,259.687575013563,247.001504555774,28.8134638382158
1002,32,4,0.01,173,8,240.137633602656,951.001349603707,259.452227231925,248.302487373351,29.246472399348
1002,32,4,0.01,173,9,257.602226664705,1017.12193617394,273.526119644434,262.21334906949,29.3341986412745
1002,32,4,0.1,173,0,245.424801212823,961.014885413293,260.074727346588,248.678298254876,27.4820771162198
1002,32,4,0.1,173,1,267.614840086867,1015.472607068,286.897653208837,273.147551160012,29.9444515065906
1002,32,4,0.1,173,2,267.196219088344,978.238167617516,283.338306955759,270.211725274819,29.8241235422915
1002,32,4,0.1,173,3,252.735161772939,999.523720304622,263.575907752431,258.690659534046,28.6892426479225
1002,32,4,0.1,173,4,269.433557699981,1036.40571883981,287.553034475161,277.888877207903,29.2007971923503
1002,32,4,0.1,173,5,239.258662840562,995.921415460332,268.531490562576,252.554631764785,29.4322179357856
1002,32,4,0.1,173,6,248.602590084575,974.033746176288,266.985858825464,255.65463806179,27.3133763069834
1002,32,4,0.1,173,7,254.243650005048,999.987548201142,270.441672258335,255.724973222702,28.5273205758247
1002,32,4,0.1,173,8,272.561714606146,1060.75988942908,292.071862100806,276.510174584421,28.8954417195561
1002,32,4,0.1,173,9,239.555350450905,940.084765662991,253.432937254703,242.015451974518,29.5609000374126
1002,32,4,1,173,0,277.247325063176,1084.53430219852,335.934742508777,327.233767717958,27.0498584833549
1002,32,4,1,173,1,253.937643391569,999.00944581347,318.813700172797,305.854861798871,30.2210262185105
1002,32,4,1,173,2,262.080632077467,1033.31478616143,330.166887125851,320.28389381523,28.762506653591
1002,32,4,1,173,3,275.582073798521,1035.92871836569,335.174253939996,320.963367814771,29.5003466300906
1002,32,4,1,173,4,261.514025290029,987.123423501709,331.084839007234,318.702603521556,27.0142855060093
1002,32,4,1,173,5,257.631001855139,967.237835640617,309.300025083784,299.527696462728,27.2643684483906
1002,32,4,1,173,6,285.183338592003,1017.52991161325,349.438768566238,342.536945873438,27.7936420113055
1002,32,4,1,173,7,269.79093868649,1022.15191738129,334.25615431099,318.390191154923,28.6770045663058
1002,32,4,1,173,8,274.832046371252,1011.85179662752,343.816920898691,328.155894320949,28.2682407204639
1002,32,4,1,173,9,283.901171754895,1016.63809382809,351.460098386829,332.761638188845,27.6501957308192
1002,32,4,10,173,0,255.181051889263,993.563281491677,1014.48493290289,975.471989580378,26.0233032690549
1002,32,4,10,173,1,276.543714699614,1009.28506198888,929.229268641827,979.376164002439,26.5759070543826
1002,32,4,10,173,2,287.697763796512,1026.74535513437,1045.88474596419,1021.63037297978,24.9638180040102
1002,32,4,10,173,3,281.166470680209,1020.98695769495,956.89065181883,894.684744514031,25.3848357516606
1002,32,4,10,173,4,285.623828291402,979.249258939805,997.933633504809,970.935782758439,24.7286347937987
1002,32,4,10,173,5,263.299400462564,995.086632526398,1015.82989678007,993.859172131011,23.2133514670348
1002,32,4,10,173,6,254.709037081759,1012.14815405534,965.388412839245,910.226387170218,24.5717108495814
1002,32,4,10,173,7,298.82639596805,1032.6915021114,1018.3554675379,1010.57755124342,25.0455117234144
1002,32,4,10,173,8,266.140633312298,996.863669556187,1002.85810687183,1068.71506719961,25.0111143178414
1002,32,4,10,173,9,273.57003280908,1006.72206789772,1001.47223460109,998.210211796643,23.8257247229439
1002,32,1,0.01,15,0,229.517155969173,1011.94765640611,564.804230960848,565.432407331366,46.470535076048
1002,32,1,0.01,15,1,232.148550018039,951.655251804541,593.996490201787,597.941093185007,47.9182817853465
1002,32,1,0.01,15,2,219.154980888748,993.923802974391,604.879988454911,605.591112777861,46.5016949437183
1002,32,1,0.01,15,3,234.401938897575,992.741035851121,613.076688184205,612.363676528177,43.3840990260449
1002,32,1,0.01,15,4,238.329881707476,1008.79357845979,614.583031023599,621.568002524767,49.3956931962954
1002,32,1,0.01,15,5,244.809906400366,1024.910359318,626.44204116616,627.951478023331,44.9250140723753
1002,32,1,0.01,15,6,232.172336421827,1027.02999090581,608.856433603673,613.32434118395,44.6781211096788
1002,32,1,0.01,15,7,234.687472953525,1028.84631811731,594.047307171567,597.571587322772,46.0547156787957
1002,32,1,0.01,15,8,232.640329977088,1030.91625369238,605.600509132053,609.630429286155,48.6968084885586
1002,32,1,0.01,15,9,219.440775911111,935.525091099737,571.70517548334,570.713300525219,42.6609132146605
1002,32,1,0.1,15,0,235.88699910406,1021.56661990717,595.72103944659,604.845359933332,48.0339149350151
1002,32,1,0.1,15,1,235.145097452391,995.519401945861,599.582710679989,602.784917771963,40.0910161623642
1002,32,1,0.1,15,2,249.195553146357,1016.05212776935,628.676591268987,633.241922600353,43.939101614936
1002,32,1,0.1,15,3,219.294591575825,960.494732184309,579.446686249468,582.955331145711,43.629717363347
1002,32,1,0.1,15,4,235.135437012191,1050.23134618859,628.401100340297,633.824487092666,45.8828221373757
1002,32,1,0.1,15,5,250.627541120406,1045.26730684225,644.452023809087,646.919920994141,44.7815427707539
1002,32,1,0.1,15,6,221.740613914389,986.025596193558,608.002609127543,614.715086713481,47.4203997968522
1002,32,1,0.1,15,7,244.898426910473,977.434579577982,627.114232400825,630.579142114008,37.4548970881879
1002,32,1,0.1,15,8,251.671416565424,1027.09944267674,608.872088727203,617.228742876058,46.0611730942903
1002,32,1,0.1,15,9,219.997711035354,996.791790119522,610.105900796457,614.161160386485,43.1108281834859
1002,32,1,1,15,0,255.541364645801,1019.99679248348,728.189021030309,726.115691170005,35.020722919585
1002,32,1,1,15,1,240.671037803393,1007.89512913882,750.247115086562,744.224402205597,34.8910106704732
1002,32,1,1,15,2,239.599121751196,1024.30703040037,747.629313864003,754.203510707375,38.5774754142233
1002,32,1,1,15,3,234.384692266462,1020.1827085378,744.518941981785,738.78040783564,32.9625002818555
1002,32,1,1,15,4,231.226487444803,979.664939890579,726.054081714966,721.045344355276,34.7986327551969
1002,32,1,1,15,5,240.975003566845,1019.57811485119,743.382374725271,743.023400357087,33.3116875455114
1002,32,1,1,15,6,230.300736598605,1026.97365668397,745.040014841071,749.303511939001,35.0949862715106
1002,32,1,1,15,7,253.278116550349,984.542874587298,726.420263643676,723.171462976617,34.6818820143472
1002,32,1,1,15,8,251.593436339082,1023.14607530578,744.059233254253,746.448380844276,32.7589177113536
1002,32,1,1,15,9,235.328080174537,990.104526569581,708.153875376694,705.299741430716,35.862080920166
1002,32,1,10,15,0,259.075291924924,1004.68037471305,1060.82291514735,1043.82594728881,16.1127569324462
1002,32,1,10,15,1,251.038128095143,1019.66647160823,1116.10998057807,1091.16573427658,16.2828766379519
1002,32,1,10,15,2,249.198762855311,1028.8893448805,1063.04923203602,1043.81684743567,16.2514276508136
1002,32,1,10,15,3,243.201202753743,977.085645904996,1083.26342407047,1084.62570234957,15.983160477343
1002,32,1,10,15,4,217.642357555928,928.491126434484,926.877302515215,926.877302515215,15.5275892029361
1002,32,1,10,15,5,229.555157747777,962.072608594711,972.009009517822,963.622268139383,16.2907722513089
1002,32,1,10,15,6,247.955156392891,1019.57549676612,1016.0693841024,1015.11726085501,16.7130610432525
1002,32,1,10,15,7,251.743439681889,1046.72313061188,1047.22661240376,1043.35794666291,14.8784100191556
1002,32,1,10,15,8,248.974754790149,1003.2433391847,1007.94547759843,1007.42994344169,15.9765321142892
1002,32,1,10,15,9,259.77761264535,1024.12315869922,1062.03928537874,1043.43374712222,16.1325372308681
1002,32,4,0.01,15,0,240.503920743475,1025.72860848589,257.02833312375,246.929424758248,29.3683222519541
1002,32,4,0.01,15,1,244.185904048571,985.566639061951,260.679618263097,249.078960051594,35.3939029644437
1002,32,4,0.01,15,2,234.75210033169,1033.49762492684,255.055355202411,244.625019132391,27.4673879148666
1002,32,4,0.01,15,3,245.366943090337,1045.62357627994,259.549271032016,247.617455011174,28.8511003407248
1002,32,4,0.01,15,4,242.96073174064,1060.04088746098,263.089157659956,252.627691757287,27.9286166813163
1002,32,4,0.01,15,5,221.091386948496,997.374985968349,242.351869773391,230.748861988703,24.1448563979481
1002,32,4,0.01,15,6,232.44771989855,1015.04822840863,251.772917681471,239.722827791965,29.8748880970925
1002,32,4,0.01,15,7,231.048802799688,983.438887745214,248.994563602697,239.202818463966,28.44132326424
1002,32,4,0.01,15,8,221.384247730443,1011.09502527888,236.182123882364,229.010284363676,29.1233610370267
1002,32,4,0.01,15,9,226.879165936808,984.660747844229,247.689810879252,232.022111929142,32.0763031472378
1002,32,4,0.1,15,0,255.469098376672,1017.83605535863,269.234845404049,258.97308747982,27.1818632585513
1002,32,4,0.1,15,1,229.573942594427,1011.72574138458,247.157621743256,237.813390760488,28.4194382427377
1002,32,4,0.1,15,2,238.711882527977,991.597501929062,251.75744623541,243.427658225106,29.0236978891595
1002,32,4,0.1,15,3,229.746440942309,977.792671573883,249.212558375398,237.22745371793,24.0578569004848
1002,32,4,0.1,15,4,243.80453761259,1071.6290811467,265.84342743358,253.583130747581,28.7892443910391
1002,32,4,0.1,15,5,236.019190414589,1034.94006736431,261.316206439603,248.156190810882,28.3743293054043
1002,32,4,0.1,15,6,248.78819830389,1029.70739247903,268.440437267703,253.24802735156,27.2777489125137
1002,32,4,0.1,15,7,212.928301211679,951.87594609748,230.139486004893,219.987323982578,28.8428848184039
1002,32,4,0.1,15,8,217.313907575255,969.21766043289,237.419948398118,223.84738966038,28.225510125948
1002,32,4,0.1,15,9,227.286521552962,971.078048886077,242.136211834122,234.990767061746,28.725749845513
1002,32,4,1,15,0,234.78651022868,1005.02692349267,311.538985836195,303.671189558784,26.6538922816196
1002,32,4,1,15,1,252.39429835952,1003.32246017958,329.591025004039,313.633603007463,22.5875201718283
1002,32,4,1,15,2,253.525932371969,1040.18258337437,322.315523858024,311.73197531668,24.1706745029828
1002,32,4,1,15,3,238.706796146605,980.95486136485,307.206563680529,297.134454767357,25.4452642165896
1002,32,4,1,15,4,244.271595021229,1036.86885036566,315.662037799783,302.750937667422,29.0655845119437
1002,32,4,1,15,5,233.9800553502,990.450857944103,301.807081643536,297.342777446694,22.4991301117911
1002,32,4,1,15,6,222.901697218402,969.661904243024,297.603166635612,288.500794376669,24.8165299924167
1002,32,4,1,15,7,229.61559661692,996.48997824962,311.612083638321,295.361664456788,26.5416586593862
1002,32,4,1,15,8,233.205913029387,968.022392722043,290.289322916679,292.838510398816,26.5981754304149
1002,32,4,1,15,9,236.255384459087,983.826807212569,297.749782106787,290.454552616914,26.9040053405529
1002,32,4,10,15,0,225.195126418751,937.771843409061,906.347581540631,945.304532329685,22.9879504887689
1002,32,4,10,15,1,247.143638608351,1018.17193454723,929.11213826332,985.330324278774,21.9827026001331
1002,32,4,10,15,2,224.498863271927,994.347279120927,955.358168737434,955.545581222835,22.7455378181281
1002,32,4,10,15,3,240.86248485083,998.836067808514,995.625569413945,1007.54376534968,22.9473833781574
1002,32,4,10,15,4,253.156477830656,1031.15567026578,926.308413114217,950.919587730174,21.9920010203638
1002,32,4,10,15,5,233.838709764899,996.92553892751,968.675370504981,960.151558370532,22.2416332084424
1002,32,4,10,15,6,272.243078886773,1047.81675120503,971.164856925335,944.201143194504,23.385366253164
1002,32,4,10,15,7,253.155715202926,1006.36563243931,967.92998315023,945.603545116595,23.2156457174433
1002,32,4,10,15,8,250.11645277431,1031.02137958284,1014.83049308009,1040.02068875965,23.1726103582101
1002,32,4,10,15,9,242.807872755354,962.640608168782,843.26135395986,815.578866376648,22.8079184496736
1002,32,1,0.01,67,0,59.7520803423001,984.961465810133,315.856319163,315.985172556451,68.8229794758339
1002,32,1,0.01,67,1,72.4661602648372,1030.33214469038,319.196421558862,323.383866061726,70.3275000726231
1002,32,1,0.01,67,2,58.7734740773592,1002.3012723115,314.485120378184,315.064917255496,66.5663643363609
1002,32,1,0.01,67,3,58.8711795337739,1002.19604231678,313.002877409659,314.581452816198,68.2435466097614
1002,32,1,0.01,67,4,65.7782313768683,989.307574510534,322.092951807443,323.244871107402,70.3510767057274
1002,32,1,0.01,67,5,63.3275047267706,955.237013239727,301.697679203314,305.7790884821,71.6777219939569
1002,32,1,0.01,67,6,76.3235144596045,1058.24559568741,327.261245627316,330.649607069262,70.7295809010387
1002,32,1,0.01,67,7,64.1607022528799,985.659607858632,315.218069305024,318.273014742816,66.8006702389512
1002,32,1,0.01,67,8,61.9075575122239,1028.52978977723,303.5001166676,304.867336758975,71.8419935145022
1002,32,1,0.01,67,9,74.2661092777836,965.505020445007,309.197099725843,309.966545589764,71.0392407445134
1002,32,1,0.1,67,0,64.8738178184574,1001.50624813479,337.217598516377,339.540020659898,66.720432662723
