r,s,n,nt,NB,MST,MLB,RND,M-U,MD-U,B-U,SB-U,W-U,SW-U,HM-U,SHM-U,GM-U,SGM-U,R-U,D-U,NC-U,SD-U,M-O,MD-O,B-O,W-O,HM-O,GM-O,R-O,D-O,NC-O,SD-O
32,1,35,5,128,1296.9830399999846,727.9564799999918,1349.397759999997,1012.4562719999929,1012.4562719999929,1226.0027599999976,1226.0027599999976,1012.4562719999929,1012.4562719999929,1012.4562719999929,1012.4562719999929,1012.4562719999929,1012.4562719999929,1338.2950559999963,1117.1984639999905,1226.0027599999976,1012.4562719999929,1226.0027599999976,1226.0027599999976,1226.0027599999976,1226.0027599999976,1226.0027599999976,1226.0027599999976,1349.397759999997,1349.397759999997,1084.957567999989,1349.397759999997
32,4,35,5,128,1296.9830399999846,727.9564799999918,1205.9033919999918,1073.2485519999896,1073.2485519999896,960.8797439999884,960.8797439999884,1073.2485519999896,1073.2485519999896,1073.2485519999896,960.8797439999884,1036.8554239999876,1073.2485519999896,1059.620863999988,1093.225855999989,960.8797439999884,1032.858655999994,1060.365503999987,1060.365503999987,960.8797439999884,1060.365503999987,1060.365503999987,1060.365503999987,1205.9033919999918,1251.2433439999909,1047.2562959999902,1251.2433439999909
32,1,220,10,128,5625.082879999934,1531.8886399999824,2953.656759999998,2334.597247999984,2334.597247999984,2668.232759999998,2668.232759999998,2334.597247999984,2334.597247999984,2334.597247999984,2334.597247999984,2565.489279999992,2334.597247999984,2780.525055999997,2527.270007999985,2668.232759999998,2345.9144959999835,2668.232759999998,2668.232759999998,2668.232759999998,2668.232759999998,2668.232759999998,2668.232759999998,2953.656759999998,2809.306759999998,2791.627759999998,2809.306759999998
32,4,220,10,128,5625.082879999934,1531.8886399999824,2804.3426479999894,2345.070103999982,2345.070103999982,2219.341183999972,2219.341183999972,2345.070103999982,2345.070103999982,2345.070103999982,2219.341183999972,2219.0544159999754,2345.070103999982,2836.513399999981,2366.2540559999934,2219.341183999972,2306.749567999996,2242.5644959999745,2318.8269439999704,2219.341183999972,2318.8269439999704,2242.5644959999745,2242.5644959999745,2804.3426479999894,2863.026263999997,2667.0369839999853,3056.6822799999954
32,1,680,15,128,14398.955519999825,2335.8207999999727,5097.03976,3570.3554479999743,3570.3554479999743,4110.462759999999,4110.462759999999,3570.3554479999743,3570.3554479999743,3570.3554479999743,3570.3554479999743,4007.7192799999934,3570.3554479999743,4275.792055999998,4095.103319999972,4110.462759999999,3570.3554479999743,4110.462759999999,4110.462759999999,4110.462759999999,4110.462759999999,4110.462759999999,4110.462759999999,5097.03976,4944.145255999998,4395.886759999999,4944.145255999998
32,4,680,15,128,14398.955519999825,2335.8207999999727,4799.703207999995,3527.26909599997,3527.26909599997,3378.316863999957,3378.316863999957,3527.26909599997,3527.26909599997,3504.045783999968,3378.316863999957,3402.825847999969,3527.26909599997,5136.881431999972,3717.574495999989,3401.5401759999595,3915.467903999999,3501.0259359999586,3524.2492479999605,3378.316863999957,3524.2492479999605,3501.0259359999586,3501.0259359999586,4799.703207999995,4786.295255999998,4447.155519999996,4835.059263999996
32,1,1540,20,128,29033.2569599994,3139.752959999963,8103.604759999997,5778.933615999969,5721.049551999972,5647.474248000002,5647.474248000002,5793.577071999979,5793.577071999979,5656.571063999985,5376.664303999993,6084.427767999983,5826.05244799999,6414.71245599999,5887.591583999979,5664.339991999998,5854.803335999968,5555.902759999996,5648.913511999998,5647.474248000002,5648.913511999998,5555.902759999996,5555.902759999996,8103.604759999997,7906.038199999988,6444.275239999995,7906.038199999988
32,4,1540,20,128,29033.2569599994,3139.752959999963,7356.998207999996,4808.953847999956,4799.37741599996,4918.481847999944,4918.481847999944,4785.730535999954,4785.730535999954,4785.730535999954,4583.739167999948,4883.824263999961,4808.953847999956,7373.603943999968,5066.12599199999,4586.068799999952,5357.697903999999,4782.710687999945,4805.9339999999465,4918.481847999944,4805.9339999999465,4782.046487999994,4747.430871999953,7323.450623999997,7332.586599999994,6365.738951999996,7381.350607999994
32,1,2925,25,128,50942.64319999912,3943.685119999953,12315.088759999995,8929.049359999994,8825.621719999976,9299.721816000008,9299.721816000008,9174.03623199999,9174.03623199999,8590.517359999983,8943.141191999986,9597.402632000008,8800.986520000026,9459.07623999999,8714.72960000001,9127.332256000003,8813.83688799999,9240.971768000005,9282.317000000005,9299.721816000008,9282.317000000005,9206.968760000003,9223.292768000005,12262.051759999997,11810.794624000004,9642.269647999998,11810.794624000004
32,4,2925,25,128,50942.64319999912,3943.685119999953,10618.715624,6971.116983999974,6837.769543999957,7436.422223999995,7436.422223999995,7103.766967999982,7103.766967999982,7036.095719999968,7174.236527999992,8639.312447999975,6830.488391999992,9798.461703999968,6983.076647999967,7244.2776879999965,7067.993864000003,7432.029183999976,7447.323927999965,7436.422223999995,7447.323927999965,7449.2604880000035,7392.49836,10583.357624,10623.548503999997,8993.210759999996,10529.061359999994
