r,s,n,N,NB,MST,MLB,RND,M-U,MD-U,B-U,SB-U,W-U,SW-U,HM-U,SHM-U,GM-U,SGM-U,R-U,D-U,NC-U,SD-U,M-O,MD-O,B-O,W-O,HM-O,GM-O,R-O,D-O,NC-O,SD-O
32,1,35,5,128,1296.98303999998,727.956479999992,1349.39776,1012.45627199999,1012.45627199999,1226.00276,1226.00276,1012.45627199999,1012.45627199999,1012.45627199999,1012.45627199999,1012.45627199999,1012.45627199999,1338.295056,1117.19846399999,1226.00276,1012.45627199999,1226.00276,1226.00276,1226.00276,1226.00276,1226.00276,1226.00276,1349.39776,1349.39776,1084.95756799999,1349.39776
32,4,35,5,128,1296.98303999998,727.956479999992,1205.90339199999,1073.24855199999,1073.24855199999,960.879743999988,960.879743999988,1073.24855199999,1073.24855199999,1073.24855199999,960.879743999988,1036.85542399999,1073.24855199999,1059.62086399999,1093.22585599999,960.879743999988,1032.85865599999,1060.36550399999,1060.36550399999,960.879743999988,1060.36550399999,1060.36550399999,1060.36550399999,1205.90339199999,1251.24334399999,1047.25629599999,1251.24334399999
32,1,220,10,128,5625.08287999993,1531.88863999998,2953.65676,2334.59724799998,2334.59724799998,2668.23276,2668.23276,2334.59724799998,2334.59724799998,2334.59724799998,2334.59724799998,2565.48927999999,2334.59724799998,2780.525056,2527.27000799998,2668.23276,2345.91449599998,2668.23276,2668.23276,2668.23276,2668.23276,2668.23276,2668.23276,2953.65676,2809.30676,2791.62776,2809.30676
32,4,220,10,128,5625.08287999993,1531.88863999998,2804.34264799999,2345.07010399998,2345.07010399998,2219.34118399997,2219.34118399997,2345.07010399998,2345.07010399998,2345.07010399998,2219.34118399997,2219.05441599998,2345.07010399998,2836.51339999998,2366.25405599999,2219.34118399997,2306.749568,2242.56449599997,2318.82694399997,2219.34118399997,2318.82694399997,2242.56449599997,2242.56449599997,2804.34264799999,2863.026264,2667.03698399999,3056.68228
32,1,680,15,128,14398.9555199998,2335.82079999997,5097.03976,3570.35544799997,3570.35544799997,4110.46276,4110.46276,3570.35544799997,3570.35544799997,3570.35544799997,3570.35544799997,4007.71927999999,3570.35544799997,4275.792056,4095.10331999997,4110.46276,3570.35544799997,4110.46276,4110.46276,4110.46276,4110.46276,4110.46276,4110.46276,5097.03976,4944.145256,4395.88676,4944.145256
32,4,680,15,128,14398.9555199998,2335.82079999997,4799.703208,3527.26909599997,3527.26909599997,3378.31686399996,3378.31686399996,3527.26909599997,3527.26909599997,3504.04578399997,3378.31686399996,3402.82584799997,3527.26909599997,5136.88143199997,3717.57449599999,3401.54017599996,3915.467904,3501.02593599996,3524.24924799996,3378.31686399996,3524.24924799996,3501.02593599996,3501.02593599996,4799.703208,4786.295256,4447.15552,4835.059264
32,1,1540,20,128,29033.2569599994,3139.75295999996,8103.60476,5778.93361599997,5721.04955199997,5647.474248,5647.474248,5793.57707199998,5793.57707199998,5656.57106399999,5376.66430399999,6084.42776799998,5826.05244799999,6414.71245599999,5887.59158399998,5664.339992,5854.80333599997,5555.90276,5648.913512,5647.474248,5648.913512,5555.90276,5555.90276,8103.60476,7906.03819999999,6444.27524,7906.03819999999
32,4,1540,20,128,29033.2569599994,3139.75295999996,7356.998208,4808.95384799996,4799.37741599996,4918.48184799994,4918.48184799994,4785.73053599995,4785.73053599995,4785.73053599995,4583.73916799995,4883.82426399996,4808.95384799996,7373.60394399997,5066.12599199999,4586.06879999995,5357.697904,4782.71068799995,4805.93399999995,4918.48184799994,4805.93399999995,4782.04648799999,4747.43087199995,7323.450624,7332.58659999999,6365.738952,7381.35060799999
32,1,2925,25,128,50942.6431999991,3943.68511999995,12315.08876,8929.04935999999,8825.62171999998,9299.72181600001,9299.72181600001,9174.03623199999,9174.03623199999,8590.51735999998,8943.14119199999,9597.40263200001,8800.98652000003,9459.07623999999,8714.72960000001,9127.332256,8813.83688799999,9240.97176800001,9282.317,9299.72181600001,9282.317,9206.96876,9223.29276800001,12262.05176,11810.794624,9642.269648,11810.794624
32,4,2925,25,128,50942.6431999991,3943.68511999995,10618.715624,6971.11698399997,6837.76954399996,7436.422224,7436.422224,7103.76696799998,7103.76696799998,7036.09571999997,7174.23652799999,8639.31244799998,6830.48839199999,9798.46170399997,6983.07664799997,7244.277688,7067.993864,7432.02918399998,7447.32392799997,7436.422224,7447.32392799997,7449.260488,7392.49836,10583.357624,10623.548504,8993.21076,10529.06136
