r,s,n,nt,NB,MST,MLB,EFT,NC,NC TIME,OL-I,OL-I TIME,OL-II,OL-II TIME,BL,BL TIME,GCP,GCP TIME,HAL,HAL TIME
32,1,35,5,128,1296.9830399999846,727.9564799999918,1012.4562719999929,1086.8087759999876,0.9727811279089519,1012.4562719999929,1.1669844572787498,1099.7626879999873,1.084036860879905,1294.858,6.866517326312214,1294.858,1.0100709189740105,1294.858,1.0881773399014778
32,4,35,5,128,1296.9830399999846,727.9564799999918,1073.2485519999896,1073.2485519999896,1.0090440735172652,1073.2485519999896,1.1852371246739202,1073.2485519999896,1.1223346624120303,1294.858,6.851662140668422,1294.858,1.030982785360723,1294.858,1.1098738068498062
32,1,220,10,128,5625.082879999934,1531.8886399999824,2334.5972479999837,2396.0288719999794,0.9989145040574727,2334.5972479999837,1.1666639141412245,2453.331967999971,1.094370835241334,2737.088,13.91086997320041,2737.088,1.0044918712919104,2737.088,1.077652245935646
32,4,220,10,128,5625.082879999934,1531.8886399999824,2345.070103999982,2278.6708559999797,0.9927412492067257,2420.4816479999813,1.1744764267223098,2278.6708559999797,1.0917595393452995,2737.088,14.137868674749335,2737.088,1.0563297705189725,2737.088,1.1353117987940022
32,1,680,15,128,14398.955519999825,2335.8207999999727,3570.3554479999743,3711.3674959999735,1.0348282381456058,3570.3554479999743,1.1701052849636648,3806.901247999954,1.1207091653427315,4179.318000000002,26.551996461239032,4179.318000000002,1.0165373911768107,4179.318000000002,1.0770832039730902
32,4,680,15,128,14398.955519999825,2335.8207999999727,3527.26909599997,3537.132295999964,1.0167592166936061,3591.3633919999693,1.144580255211703,3550.492407999972,1.118529393738153,4179.318000000002,26.408423342380733,4179.318000000002,1.0486662078310571,4179.318000000002,1.1054986584203226
32,1,1540,20,128,29033.256959999402,3139.752959999963,5778.933615999969,5378.946247999957,1.0196549315487715,6102.776271999955,1.1425172663660381,6109.975551999937,1.103933262702534,6160.554751999997,44.13572222171934,5621.548000000002,1.0607956439260071,5621.548000000002,1.0718655004671485
32,4,1540,20,128,29033.256959999402,3139.752959999963,4808.953847999956,4732.978167999957,1.0165997183674094,4872.1972399999595,1.148877508847618,4843.494407999959,1.3333757887504243,5616.438663999995,42.282803786519615,5621.548000000002,1.070935401483347,5621.548000000002,1.0993951956554748
32,1,2925,25,128,50942.64319999912,3943.6851199999533,8929.049359999994,9417.227231999954,1.023722110777953,9153.117903999986,1.1193976429312553,10005.52857599991,1.0849529377350695,8997.50698400001,63.35894946375445,8020.551000000006,1.021727472212931,8325.74834400006,1.0587793058945578
32,4,2925,25,128,50942.64319999912,3943.6851199999533,6971.116983999974,7125.446231999974,1.0153742304924753,6934.989455999959,1.1141284312875552,7174.352447999972,1.1207711943539505,7864.324703999995,62.53193857127982,7063.778000000001,1.0438778871714802,7063.778000000001,1.0734810458816848
32,1,4960,30,128,81541.77024000094,4747.617279999944,13394.094175999911,14210.989023999873,1.1695143979765377,13097.060343999954,1.0859427647971407,14543.429631999814,1.0667135887124457,13478.513663999927,80.58916128571454,12498.688999999984,1.020521958632829,12691.308503999993,1.0408652553954372
