r,s,n,N,NB,MST,MLB,EFT,NC,NC TIME,OL-I,OL-I TIME,OL-II,OL-II TIME,BL,BL TIME,GCP,GCP TIME,HAL,HAL TIME
32,1,35,5,128,1296.98303999998,727.956479999992,1012.45627199999,1086.80877599999,0.972781127908952,1012.45627199999,1.16698445727875,1099.76268799999,1.08403686087991,1294.858,6.86651732631221,1294.858,1.01007091897401,1294.858,1.08817733990148
32,4,35,5,128,1296.98303999998,727.956479999992,1073.24855199999,1073.24855199999,1.00904407351727,1073.24855199999,1.18523712467392,1073.24855199999,1.12233466241203,1294.858,6.85166214066842,1294.858,1.03098278536072,1294.858,1.10987380684981
32,1,220,10,128,5625.08287999993,1531.88863999998,2334.59724799998,2396.02887199998,0.998914504057473,2334.59724799998,1.16666391414122,2453.33196799997,1.09437083524133,2737.088,13.9108699732004,2737.088,1.00449187129191,2737.088,1.07765224593565
32,4,220,10,128,5625.08287999993,1531.88863999998,2345.07010399998,2278.67085599998,0.992741249206726,2420.48164799998,1.17447642672231,2278.67085599998,1.0917595393453,2737.088,14.1378686747493,2737.088,1.05632977051897,2737.088,1.135311798794
32,1,680,15,128,14398.9555199998,2335.82079999997,3570.35544799997,3711.36749599997,1.03482823814561,3570.35544799997,1.17010528496366,3806.90124799995,1.12070916534273,4179.318,26.551996461239,4179.318,1.01653739117681,4179.318,1.07708320397309
32,4,680,15,128,14398.9555199998,2335.82079999997,3527.26909599997,3537.13229599996,1.01675921669361,3591.36339199997,1.1445802552117,3550.49240799997,1.11852939373815,4179.318,26.4084233423807,4179.318,1.04866620783106,4179.318,1.10549865842032
32,1,1540,20,128,29033.2569599994,3139.75295999996,5778.93361599997,5378.94624799996,1.01965493154877,6102.77627199995,1.14251726636604,6109.97555199994,1.10393326270253,6160.554752,44.1357222217193,5621.548,1.06079564392601,5621.548,1.07186550046715
32,4,1540,20,128,29033.2569599994,3139.75295999996,4808.95384799996,4732.97816799996,1.01659971836741,4872.19723999996,1.14887750884762,4843.49440799996,1.33337578875042,5616.438664,42.2828037865196,5621.548,1.07093540148335,5621.548,1.09939519565547
32,1,2925,25,128,50942.6431999991,3943.68511999995,8929.04935999999,9417.22723199995,1.02372211077795,9153.11790399999,1.11939764293126,10005.5285759999,1.08495293773507,8997.50698400001,63.3589494637545,8020.55100000001,1.02172747221293,8325.74834400006,1.05877930589456
32,4,2925,25,128,50942.6431999991,3943.68511999995,6971.11698399997,7125.44623199997,1.01537423049248,6934.98945599996,1.11412843128756,7174.35244799997,1.12077119435395,7864.324704,62.5319385712798,7063.778,1.04387788717148,7063.778,1.07348104588168
32,1,4960,30,128,81541.770240001,4747.61727999994,13394.0941759999,14210.9890239999,1.16951439797654,13097.060344,1.08594276479714,14543.4296319998,1.06671358871245,13478.5136639999,80.5891612857145,12498.689,1.02052195863283,12691.308504,1.04086525539544
32,4,4960,30,128,81541.770240001,4747.61727999994,10110.114384,10438.281152,0.878921757636766,10311.469496,0.951701105161904,10521.293032,0.933710240845205,10976.13288,68.5138275256736,9243.66800000001,0.980814102194749,9435.17728000007,0.909519049071536
32,1,7770,35,128,122245.294080012,5551.54943999993,19961.0409519995,20227.2790479996,1.02337815826365,20417.7540799995,1.08963556286032,22065.2369919994,1.0699201802868,19383.8794079996,92.3081585315815,18902.9879999999,1.10474746117468,18780.1787519999,1.05217236709189
32,4,7770,35,128,122245.294080012,5551.54943999993,13813.031528,14686.2823039999,1.00329200952186,14146.8926799999,1.06586819554352,15015.5781439998,1.12271121493951,14649.5560719999,90.1547644459905,13166.481,1.10331321736231,13577.4269919998,1.15849206989254
32,1,11480,40,128,174467.870720034,6355.48159999992,28555.8170159991,28807.4598079992,1.01679507694966,28500.9903519991,1.16090398166728,30480.5724159989,1.08120584961915,27794.6132479991,99.5986552553237,27120.5969999999,1.01119788423876,27009.6667519999,1.06107343584422
32,4,11480,40,128,174467.870720034,6355.48159999992,19468.4971999996,19652.7716239996,1.03466085647842,19303.3545119996,1.04933048889209,20769.5450559996,1.03233162180488,19466.5621119996,96.7580586278445,18422.4919999999,1.00239461928951,18378.091752,1.04257957412463
32,1,16215,45,128,239624.156160062,7261.33806545644,38831.0998799985,39265.0153839987,1.03843513096022,38780.0742159985,1.03342796103139,41067.1790079985,1.02951433454978,38572.3856879986,103.555385984499,37551.0499999998,1.00103685689608,37482.7867519999,1.02058678306193
32,4,16215,45,128,239624.156160062,7159.41375999992,25918.7629679993,27037.7784479992,1.00707719016024,26240.4481759992,1.04336807407875,27067.9559119992,1.03644985402525,25854.4823759992,102.071601200163,25047.0449999999,1.08415465271945,25033.6916239999,1.02627279650232
