n,r,s,CCR,NAME,RUN,MLB,MST,EFT,NC,NC TIME,OL-I,OL-I TIME,OL-II,OL-II TIME,GCP,GCP TIME,HAL,HAL TIME
1002,32,1,0.01,173,0,266.323570830208,1000.544056622901,623.0318892883756,690.0487871174485,0.9997293759940344,623.0318892883756,1.2549602566028517,624.2078378823102,1.1953773504282017,623.0318892883756,1.021916131152702,631.3308256684406,1.078710438773803
1002,32,1,0.01,173,1,252.24619464608287,968.082997783555,615.7511992701006,668.9094755991222,1.0009032134866411,615.7511992701006,1.241445130146763,615.7511992701006,1.2029202121590583,615.7511992701006,1.0145751335876574,615.7511992701006,1.0742954635360045
1002,32,1,0.01,173,2,241.65808749271685,997.0112889347066,607.8875400423792,665.8323684567038,1.0221353235303434,607.8875400423792,1.2471128112466294,607.8875400423792,1.1936792002809509,607.8875400423792,1.0242376229903563,607.8875400423792,1.0932164760621876
1002,32,1,0.01,173,3,272.1333655498048,988.86304892766,638.8299074960827,704.1123025677015,0.9412819452039215,638.8299074960827,1.1902928287589205,638.8299074960827,1.1176487969521558,638.8299074960827,0.9713157224014339,638.8299074960827,1.0109426303072924
1002,32,1,0.01,173,4,266.5721975517245,1017.4588776401418,638.0831122769454,699.255353335126,0.9980459094163197,638.0831122769454,1.2390333730846537,637.6233583091214,1.1901182663316932,638.0831122769454,1.0680775879163371,637.6233583091214,1.0708081772394051
1002,32,1,0.01,173,5,246.58441351297924,998.9122386921836,615.2655559099636,680.1390597585118,1.0038344462489603,615.2655559099636,1.253531956091251,615.2655559099636,1.2213132962354147,615.2655559099636,1.04346750081001,615.6726967326919,1.0761398305045984
1002,32,1,0.01,173,6,270.3333255453015,999.1004015211281,645.7812800812785,690.1161744872813,0.9723416542753074,645.7812800812785,1.2110071177187696,645.7812800812785,1.2266975924800212,645.7812800812785,0.9856774583192717,645.7845251972612,1.0458037868823924
1002,32,1,0.01,173,7,270.76025027726905,992.8546129381502,640.218084457902,699.0322356878207,1.0407837998056653,640.218084457902,1.234193798177011,640.218084457902,1.1951235890611418,640.218084457902,1.0134070522910956,640.5064076319477,1.1541432277565808
1002,32,1,0.01,173,8,240.28791823586306,975.2239837163353,621.4435387551983,684.4932515917621,1.0015624555952636,621.4435387551983,1.2432931648348857,621.4435387551983,1.1945780426982355,621.4435387551983,1.0189127336105575,621.5091145830618,1.0761391500118966
1002,32,1,0.01,173,9,253.71956412332952,1017.1899617811531,621.5010840723471,693.3952922727171,0.9961339990216145,621.5010840723471,1.242754006028226,621.5010840723471,1.257017523071496,621.5010840723471,1.058150853324409,621.7036554689552,1.1263467092066808
1002,32,1,0.1,173,0,269.4773207281796,989.0177330764775,619.6238449370691,674.9433454640612,1.0010990385802976,619.6238449370691,1.2941868427023504,619.8460848970651,1.306103129661721,617.3096430708473,1.019172773340672,630.8309979346502,1.0787969861357878
1002,32,1,0.1,173,1,260.06241892874834,1059.9310725346033,657.0764644201232,737.5343587554398,0.9212862084726998,657.0764644201232,1.1418578863098758,657.0764644201232,1.0993535943415342,654.8802133284628,0.9333546597178095,688.7913371756791,0.9903418373024727
1002,32,1,0.1,173,2,247.58979740349406,987.1790769678414,621.7621159491498,681.9854454548564,1.0978513512256436,621.7621159491498,1.3264556387115458,624.3989981229229,1.1932233961194039,612.2900766238715,1.0141625702149157,638.074076881496,1.1692953028361166
1002,32,1,0.1,173,3,250.2979375996916,964.9960328765346,602.8551582422317,646.7351145535596,1.004579147068022,602.8551582422317,1.2433446825631946,604.1370365841908,1.2850793756383014,593.9611447586227,1.0181491215449856,614.8871812066849,1.0888309223229753
1002,32,1,0.1,173,4,276.272355818907,994.8938275361555,644.3640005829482,700.4940910660172,1.0057891448171334,644.3640005829482,1.2573649801640836,643.0728584177856,1.2010422764874908,637.8518245438202,1.0190109816247734,658.4694866495903,1.084604448240124
1002,32,1,0.1,173,5,275.1758735272344,1016.4441854466271,658.6462016286589,721.6128726544802,1.0038527603640464,658.6462016286589,1.2495241152490495,662.6897656132471,1.1965202091350984,655.5618256790334,1.0209051936840818,671.0896835785642,1.0814827553264115
1002,32,1,0.1,173,6,262.80972142369444,1019.8790321881515,644.0483637697791,720.3915356520845,0.997382165946181,644.0483637697791,1.2418269651561598,650.5394598308662,1.1848563793259201,642.6437453422985,1.0102073618930136,662.5744387552825,1.068964630052019
1002,32,1,0.1,173,7,267.6604063262801,984.7869603325644,634.1346878920914,694.6018475405086,1.0062174029701743,635.0668685051411,1.2567745032239928,634.5886573248218,1.1933763753549755,628.0819236734528,1.0174617282737084,660.5981008470671,1.0769381053060278
1002,32,1,0.1,173,8,264.861236010283,1003.1273263775277,634.3024453638727,690.7302527976503,0.9873884967764924,634.3024453638727,1.2279280136456012,640.6536959122707,1.1788744229807078,630.6297260588136,0.9995838015471048,658.6416949143706,1.0649292769095549
1002,32,1,0.1,173,9,288.26192483616325,1019.3886043821541,652.482755362022,711.5541419497429,1.0061119498809559,652.482755362022,1.3969806718052102,663.1420688436339,1.1936535851399503,651.3322861971461,1.0114640794004737,674.993122922949,1.1357325881595186
1002,32,1,1.0,173,0,293.76697769421315,1062.8830422220428,805.113452711716,834.5010377532551,1.0048135912356517,805.309786577905,1.2357809569827618,815.6037620531386,1.2372982854554944,791.3631481755895,1.0178272637039962,886.2903676584249,1.0724044315003238
1002,32,1,1.0,173,1,268.70297810165926,1015.1895000949278,757.293413045803,793.9626742629373,1.0579332449231367,760.213461735206,1.2515394557047275,781.2120795913738,1.2005187993060982,773.0186803256555,1.0196850926438845,818.5982766783773,1.145409609818901
1002,32,1,1.0,173,2,269.04980428666795,988.0266763397168,732.768072514973,770.0884982373124,1.004471754846531,732.768072514973,1.2986495130623892,751.4234583372779,1.2274088233962133,744.9264316900329,1.0233975895109575,804.6618622682072,1.0834665909403352
1002,32,1,1.0,173,3,278.5303267966326,977.8710496763148,753.0861975238867,790.6888322827073,0.9361261846137945,755.165625544416,1.1606634930190511,783.0961767110557,1.116754554487973,768.5905929478216,1.0271221130402033,829.6375175457824,1.00254991746944
1002,32,1,1.0,173,4,268.5265847227882,1011.3876433781761,774.6110263370501,803.6965277019821,1.0004729340588012,774.4782608601514,1.2402056928314777,786.730892715254,1.195011477076475,770.6149617503219,1.016431062023918,841.1878937261775,1.0778798458770458
1002,32,1,1.0,173,5,293.9769012948062,1001.1032947226126,747.9164569190268,788.7197619555441,0.964358452028101,749.8548923285174,1.2025072897351867,764.5441648406228,1.1524364461123147,751.2984587380442,1.0982656925716658,825.5006006166577,1.0429695949646254
1002,32,1,1.0,173,6,272.77593469734836,973.1269648200157,741.833020119055,773.8775695038037,1.0901264792579999,739.3443306607809,1.2515360606727457,758.4982753776894,1.1980563107553526,758.7945127682093,1.1336844460454996,814.099852563901,1.2016149701364947
1002,32,1,1.0,173,7,270.1934817298487,1049.65357458061,749.7417891204741,791.6922114475418,1.000749152181861,750.1339273651197,1.240620316646308,764.332765035932,1.1881480450122213,738.4224313179388,1.0150059263716478,841.1405814650403,1.0747035296410996
1002,32,1,1.0,173,8,278.5634745940621,1014.9248599066427,775.1662035849192,817.5159446497122,1.0030324023104338,776.9735270320016,1.3968863365902329,796.9133390597787,1.1989661297996532,787.3298648076811,1.025038137898556,853.8443218259174,1.0743191982113403
1002,32,1,1.0,173,9,273.8324219953045,1024.3456517675565,756.5828480089912,799.8104526150948,0.9933393642960028,756.5828480089912,1.2277570141542913,773.1648625464469,1.1821971052302103,758.1157934716073,1.011996051489857,854.9521700162451,1.0671331664314871
1002,32,1,10.0,173,0,264.4524949048999,994.5881659757641,1127.954602092832,1040.0911045965365,0.993626071416115,989.7367738865096,1.2481731384116053,990.9142006468957,1.1895478455042348,4011.6258240491047,1.0231148904115028,1090.9761716283342,1.0746836221816916
1002,32,1,10.0,173,1,259.6940874120746,993.852480840834,1056.035279592927,1056.035279592927,0.9961523650614932,1056.035279592927,1.2499001308518467,991.4507108613727,1.1936138165308894,4301.8520728068315,1.0251572771911162,1049.455887075013,1.080403127586086
1002,32,1,10.0,173,2,274.5697201453299,1003.0474104386581,1085.7687083990409,1008.5667774739891,0.9993315045450522,1035.9241383937597,1.2528617295241602,1001.7830257877167,1.1903797374227598,3974.585862279754,1.0251612051106327,1036.7958053240345,1.0744269936379547
1002,32,1,10.0,173,3,260.5982013155266,964.2914357536331,960.5737739172391,961.0970003431363,1.005693045700715,960.5737739172391,1.2443773704576802,956.011325028419,1.194658728117481,4142.956109747063,1.0237682544321995,959.5728506225674,1.0881481717360537
1002,32,1,10.0,173,4,267.79883763725786,1010.9182479844719,1011.2928837861026,1011.2928837861026,1.0022848578116605,1011.2928837861026,1.2461512815933573,1010.3287522627447,1.2286066978933337,4116.630865474116,1.0245632420162791,1010.9182479844717,1.1267310050789647
1002,32,1,10.0,173,5,289.55176704815614,1029.6985588139762,1037.055396556707,1037.055396556707,1.0315564532026922,1037.055396556707,1.2530949867091075,1022.1318102445235,1.2947914425434928,3979.685533450199,1.111461000355204,1095.9526909152837,1.0775724223729177
1002,32,1,10.0,173,6,271.54483101933965,994.9263738643248,986.8801245354625,987.5216444134542,1.018722949738972,986.8801245354625,1.243364951682032,987.6420757311839,1.1975508458030693,4291.089588968056,1.0242637537034198,994.5264152483119,1.1086210190198673
1002,32,1,10.0,173,7,286.39515208507936,1001.7412604021122,1011.6256928349617,1000.7602288992608,1.0017919655481138,1011.6256928349617,1.2496541548819424,995.2340590012199,1.1934032752579158,3946.724305886108,1.0263717703778532,999.0457572712359,1.0798508403422264
1002,32,1,10.0,173,8,271.8483421178256,978.8095621711116,975.3799953014982,975.3799953014982,1.0020210316230276,975.3799953014982,1.2464552813127743,975.3799953014982,1.1894030568766112,4135.17926695728,1.0194023562342092,1227.7851654041413,1.076322845672534
1002,32,1,10.0,173,9,258.7274552330181,962.8542461500854,986.6340894001224,968.4915547244682,1.002824717398587,986.6340894001224,1.2512760980670934,960.202277453923,1.192293110054009,4067.8305988692814,1.0237200318352973,968.0917778742086,1.0766734706643748
1002,32,4,0.01,173,0,257.7073420150866,1001.4442383139797,266.8978874805478,270.06931873654526,0.9995623496581746,266.8978874805478,1.2246728769715205,266.8978874805478,1.178666153806988,266.8978874805478,1.0134634418539281,266.8978874805478,1.0683469865133808
1002,32,4,0.01,173,1,264.61830042729207,1033.049847128971,276.48256258576765,276.68263785548834,1.0023428165437611,276.48256258576765,1.2327318771437272,276.48256258576765,1.179286221338263,276.48256258576765,1.0201488580295874,276.48256258576765,1.0909811228070916
1002,32,4,0.01,173,2,229.83162054045036,985.631025175812,240.91716947927603,243.69974820547793,0.9943545054569635,240.91716947927603,1.2313036179799197,240.91716947927603,1.183998775428553,240.91716947927603,1.0223433252299188,240.91716947927603,1.0846459539157913
1002,32,4,0.01,173,3,279.95191562417415,1068.741654068122,286.8203082478034,288.8576080868603,0.9990189951295734,286.8203082478034,1.2251046976350926,286.8203082478034,1.1792588053418631,286.8203082478034,1.0174330711867499,286.8203082478034,1.0730162763881443
1002,32,4,0.01,173,4,250.51876137456506,1002.9604001952122,263.17465398593146,264.9532210063909,1.0042223293558303,263.17465398593146,1.22746763081637,263.17465398593146,1.1708862053167555,263.17465398593146,1.011192177203171,263.17465398593146,1.0634143110439522
1002,32,4,0.01,173,5,272.38212656036984,1025.5759760270812,280.6003064614139,280.9548685197845,0.9949317906817157,280.6003064614139,1.2213219076374213,280.6003064614139,1.1746836708841841,280.6003064614139,1.0119603165709954,280.6003064614139,1.0685717675260886
