n,N,nb,s,CPM,CPM TIME,SCULLI MU,SCULLI VAR,SCULLI TIME,SCULLI-R MU,SCULLI-R VAR,SCULLI-R TIME,CORLCA MU,CORLCA VAR,CORLCA TIME,CORLCA-R MU,CORLCA-R VAR,CORLCA-R TIME,K LOWER MU,K UPPER MU,K LOWER VAR,K UPPER VAR,K TIME
35,5,128,1,1012.45627199999,0.000130675733089,1020.53959423736,114.878190460103,0.000362358987331,1020.64067707376,97.0243749023815,0.001218676567078,1016.81067157167,151.989113060362,0.000457465648651,1017.10265223314,152.976916555565,0.001297064125538,1016.2677445004,1025.98792963486,0.562254008504504,427.238977514026,0.000660955905914
35,5,128,4,1073.24855199999,0.000119186937809,1073.25749511127,105.778859924246,0.000358104705811,1074.22247232404,89.4194849752988,0.00129709392786,1073.25583078423,105.788290998619,0.000490508973598,1073.25577746852,105.78903336033,0.001405969262123,1073.25110150497,1073.33446055927,0.562254008504504,192.30326411429,0.000703707337379
35,5,1024,1,23743.28876,0.000141449272633,23743.28876,195.342970491046,0.000423043966293,23743.28876,195.342970516136,0.001160435378551,23743.28876,195.342970491046,0.000606395304203,23743.28876,195.342970516136,0.001387476921082,23743.28876,23743.28876,3.76197179739736,195.342970381902,0.000830672681332
35,5,1024,4,20777.941408,0.000145800411701,20777.9423194669,9947.10603749811,0.000400960445404,20777.9693116663,9934.27992161696,0.001233592629433,20777.9419489091,9947.26285415947,0.000547170639038,20777.941488017,9947.39394703095,0.001362361013889,20777.9414147746,20778.0543184221,3.76197179739736,21993.9202970505,0.000757239758968
220,10,128,1,2334.59724799998,0.000943541526794,2361.68096021677,148.255868093763,0.002904735505581,2361.52864384341,121.878190115693,0.0084098726511,2342.144283486,391.545335673448,0.004135757684708,2342.53461268018,391.792194362397,0.009735897183418,2338.58210614112,2428.1544425458,0.562254008504504,1237.80097351002,0.005712680518627
220,10,128,4,2345.07010399998,0.000947155058384,2360.75027073747,174.365016177949,0.0030362829566,2366.8469390506,78.5128638424379,0.009599015116692,2355.06896197474,256.255359721091,0.004301816225052,2357.03571115214,231.222144744958,0.011006757616997,2347.35576855229,2415.59917207731,0.562254008504504,868.240657362963,0.005946807563305
220,10,1024,1,117035.20908,0.001028664410114,118075.24951557,170912.523906649,0.003286376595497,117655.294830313,457342.034344997,0.008343987166882,117387.495208762,663675.344663561,0.005446814000607,117369.039837655,717111.213343944,0.010700255632401,117097.557467696,122513.429863967,3.76197179739736,1874941.36719021,0.006351850926876
220,10,1024,4,53338.832592,0.001001738011837,53467.0658258021,30314.5532440549,0.00322937220335,53562.0229093258,12552.7788899798,0.010049879550934,53412.6840488754,37483.2923473722,0.004691258072853,53418.4768481163,37542.3778351206,0.011476308107376,53366.6204900637,53758.8913675907,3.76197179739736,97514.9823644501,0.006467208266258
680,15,128,1,3570.35544799997,0.003386251628399,3625.47053939751,82.204726343695,0.010465011000633,3625.2037695778,88.5064839689461,0.028105467557907,3600.7446335552,400.579009363148,0.015130810439587,3605.16094380533,388.903202687058,0.03295760601759,3577.59116657723,3917.19772764693,0.562254008504504,2288.12198579296,0.02258961647749
680,15,128,4,3527.26909599997,0.003286801278591,3566.04432681364,96.2611821700819,0.01063171774149,3570.37098233882,59.5673692120639,0.047328919172287,3560.22909322728,159.532766435016,0.016766130924225,3557.84023540823,236.273968797776,0.037113964557648,3532.83206633369,3808.98164686304,0.562254008504504,1803.050505587,0.020456768572331
680,15,1024,1,302103.057512001,0.00348936021328,302396.948767863,65083.0671767598,0.011181302368641,302253.636874267,146996.066338863,0.028292067348957,302239.09295013,148639.312278689,0.024161331355572,302231.552726063,152836.604501094,0.042105361819267,302103.057512001,324082.902062991,3.76197179739736,5998790.28989702,0.021201208233833
680,15,1024,4,107158.36444,0.003388606011868,107628.192001701,30291.5480632192,0.01133019477129,107706.602177232,17335.2288087267,0.034845538437367,107366.736543331,81171.4701041585,0.018657431006432,107392.933283394,76684.3117078204,0.041461437940598,107289.351519642,116403.346563027,3.76197179739736,1127129.60789506,0.022123649716377
1540,20,128,1,5778.93361599997,0.008491978049278,5874.87607951507,184.589451227058,0.02536229044199,5882.21364603837,98.4090933842984,0.065896548330784,5853.90563451191,767.070448279101,0.038832843303681,5859.90552619369,692.043310996744,0.092699348926544,5791.40374935024,6616.72461409294,0.562254008504504,4375.9621309381,0.048654846847057
1540,20,128,4,4808.95384799996,0.007863782346249,4873.04436907617,149.558771293331,0.02570416033268,4883.91976089699,38.1624513199953,0.073347017168999,4866.94377371179,206.96627451824,0.053709343075752,4874.54442661266,148.672390975657,0.087389133870602,4821.02868402591,5558.58141607328,0.562254008504504,3189.20942550089,0.049130015075207
1540,20,1024,1,627465.400407999,0.008293643593788,629410.228239688,170103.325736941,0.0264652967453,628772.290774716,928780.286935176,0.06721007078886,628077.944457627,1480699.9237594,0.0790810957551,628278.709711572,1519077.85413488,0.123787961900234,627465.400407999,676492.404193601,3.76197179739736,12946379.1230703,0.050366558134556
1540,20,1024,4,206909.353848,0.008832201361656,209484.338788133,56757.944984377,0.029177658259869,208672.812791302,243739.62648138,0.083035573363304,208410.668359707,690365.289970339,0.046154260635376,208423.962814256,428488.212098445,0.11688232421875,207384.366125598,236764.917595672,3.76197179739736,3433233.10582241,0.05231049656868
2925,25,128,1,8929.04935999999,0.016921401023865,9104.26422295342,460.020530928031,0.052004657685757,9121.07682480186,88.877843481156,0.131571903824806,9037.20376308748,1424.90477916981,0.08863627910614,9066.91777921866,905.966693070385,0.196419663727284,8962.71842184471,10301.2490172618,9.56809209209209,7392.77547779223,0.099491357803345
2925,25,128,4,6971.11698399997,0.022029526531696,7130.64458798668,118.042267031688,0.069204099476338,7140.07687494164,38.8607210113136,0.215925976634026,7106.388157069,324.98303103419,0.084802135825157,7116.18460085692,263.711043093952,0.18046822398901,7009.1967755188,8786.65155861197,0.562254008504504,5197.43194128714,0.099384970963001
2925,25,1024,1,1050589.678768,0.01855406165123,1057505.51343726,108202.803520144,0.057354047894478,1057152.80485565,1044027.04419836,0.145091518759727,1053637.32897228,4723853.54009241,0.254191353917122,1054911.80946023,4414061.45777258,0.321045935153961,1050589.678768,1154278.6896492,3.76197179739736,27776793.0253338,0.102581299841404
2925,25,1024,4,364185.268024002,0.017223753035069,367437.847559068,78009.8550490743,0.077433906495571,365874.156687804,256872.256829585,0.167680360376835,366220.342758782,1273209.23154444,0.136554934084415,365277.354328677,660976.414178218,0.302690088748932,364287.122564621,428259.459916778,3.76197179739736,6790998.79996588,0.106720298528671
4960,30,128,1,13394.0941759999,0.031624026596546,13573.8409971567,167.894481271226,0.092402815818787,13575.7570722851,87.0299780039517,0.260136224329472,13541.3975392733,861.832159012277,0.198973678052425,13530.9218205631,849.636887785646,0.421602495014668,13410.7283487677,16149.6554206927,0.562254008504504,11210.0894149515,0.178211137652397
4960,30,128,4,10110.114384,0.032866641879082,10359.6830815853,125.165467232186,0.094156183302403,10369.8138102663,38.3302612720457,0.322930857539177,10315.5690418134,369.417926102597,0.230909667909145,10325.1729295955,317.570267033431,0.535124078392983,10182.9716619388,13790.9845746911,0.562254008504504,8135.52864092208,0.238339558243752
4960,30,1024,1,1708563.32249601,0.043386965990067,1721616.23613314,114776.785209597,0.128694832324982,1720881.19089835,2010059.69312414,0.39701946079731,1718863.42364713,3982559.3633346,0.765380673110485,1718757.87076935,5601744.76050695,0.983079291880131,1708563.32249601,1895101.22624773,3.76197179739736,51910366.3351923,0.18201407790184
4960,30,1024,4,589673.629520001,0.033773548901081,595614.01983953,69234.5187301046,0.097053550183773,593578.215996061,1200728.02033361,0.394511073827744,593318.270687043,2213873.834526,0.445531062781811,592268.109510536,1470709.92389807,0.813964895904064,590157.731549432,693996.144096053,3.76197179739736,11648625.1593081,0.245945401489735
7770,35,128,1,19961.0409519995,0.070335239171982,20182.0196422867,250.079315542895,0.20090825855732,20180.8068492167,87.1713901130883,0.574235677719116,20118.8872807531,1253.45609045001,0.516984052956104,20114.3237932637,1169.3580587475,0.857236184179783,19978.5769693535,23849.898552752,0.562254008504504,16862.7308360155,0.283785864710808
7770,35,128,4,13813.031528,0.055477917194367,14109.2968490978,84.3419920203276,0.15650350600481,14116.7336991607,38.8126695422856,0.483384817838669,14057.6809686791,364.210550874192,0.38921545445919,14066.4316342907,286.343648370954,0.810736380517483,13885.4016897219,19898.7175239788,0.562254008504504,11297.6154810821,0.289039328694344
