n,nt,nb,s,DIST,10,100,1000,10000,100000
35,5,128,1,normal,0.0007748529314994,0.0008065626025199,0.0023246556520462,0.0174305364489555,0.1708422377705574
35,5,128,1,gamma,0.0022003278136253,0.0010363981127738,0.0032870844006538,0.0262276083230972,0.2816724106669426
35,5,128,1,uniform,0.0026407986879348,0.0009808763861656,0.0014831721782684,0.0074856132268905,0.0704287886619567
220,10,128,1,normal,0.0054102092981338,0.0049988180398941,0.0145196616649627,0.1099460870027542,1.065884456038475
220,10,128,1,gamma,0.0112378075718879,0.0063653737306594,0.0208546519279479,0.1660308167338371,1.5932814329862597
220,10,128,1,uniform,0.0107897445559501,0.004529096186161,0.0073805972933769,0.0387365221977233,0.384877398610115
680,15,128,1,normal,0.0191866159439086,0.0157042816281318,0.0454235300421714,0.3454113006591797,3.3732794672250748
680,15,128,1,gamma,0.0327573344111442,0.0201150402426719,0.0654167309403419,0.517315998673439,5.003193765878677
680,15,128,1,uniform,0.0312139317393302,0.0146611183881759,0.0237123221158981,0.1240759789943695,1.2704377546906471
1540,20,128,1,normal,0.0472220703959465,0.0379505529999733,0.1067475974559784,0.8052250891923904,8.167380511760712
1540,20,128,1,gamma,0.0690871328115463,0.0463995039463043,0.1494994536042213,1.1881773918867111,11.815536700189114
1540,20,128,1,uniform,0.0650466829538345,0.0342817604541778,0.0548983290791511,0.2884574234485626,2.972779095172882
2925,25,128,1,normal,0.0900344550609588,0.0748622342944145,0.2065824195742607,1.8246913403272629,15.502177767455578
2925,25,128,1,gamma,0.1261046752333641,0.0897780135273933,0.2918235063552856,2.314116835594177,22.648106448352337
2925,25,128,1,uniform,0.1200446262955665,0.0667313113808631,0.1090331971645355,0.574578620493412,5.903169691562653
4960,30,128,1,normal,0.1588623747229576,0.1327161565423011,0.3724310919642448,3.244771264493465,28.17141218483448
4960,30,128,1,gamma,0.2133436277508735,0.1594507619738578,0.5241789743304253,4.171445675194264,41.2212200537324
4960,30,128,1,uniform,0.1987709403038025,0.1150386705994606,0.1917963698506355,1.0189620107412338,10.634969644248486
7770,35,128,1,normal,0.255469761788845,0.21645437926054,0.6139142736792564,4.83639756590128,47.43333777040243
7770,35,128,1,gamma,0.3314365670084953,0.2596142962574959,0.958136446774006,6.903757050633431,67.0628774613142
7770,35,128,1,uniform,0.3107832744717598,0.1885496005415916,0.3168479055166244,1.6578447222709656,17.31044402718544
11480,40,128,1,normal,0.3850897923111915,0.3228318020701408,0.9158003777265548,6.8503532484173775,66.77239560335875
11480,40,128,1,gamma,0.4814101457595825,0.3872893154621124,1.28106127679348,10.28538253158331,98.1569262817502
11480,40,128,1,uniform,0.4469147473573684,0.2796928137540817,0.4715580269694328,2.4592727795243263,25.76395955681801
16215,45,128,1,normal,0.5514428019523621,0.4740627706050873,1.3764068260788918,9.720483362674711,95.42828918248416
16215,45,128,1,gamma,0.6778175160288811,0.5504802986979485,1.836728073656559,15.087584286928177,142.06380311399698
16215,45,128,1,uniform,0.6326448023319244,0.3939007073640823,0.6554992198944092,3.5476589873433118,36.55786435306072
22100,50,128,1,normal,0.7745998203754425,0.630403034389019,1.7806411236524582,13.30758273601532,130.06939601898193
22100,50,128,1,gamma,0.9305170476436616,0.7564756125211716,2.49465674161911,19.96691535413265,192.18341329693797
22100,50,128,1,uniform,0.8562529310584068,0.5428172722458839,0.990551359951496,4.79769492149353,50.15759082883597
