n,N,nb,s,MC10 PATH TIME,MC10 NPATHS,MC10 MU,MC10 VAR,MC10 KS,SIM10-I MU,SIM10-I VAR,SIM10-I KS,SIM10-I TIME,SIM10 MU,SIM10 VAR,SIM10 KS,SIM10 TIME,DOM10 PATH TIME,DOM10-I MU,DOM10-I VAR,DOM10-I KS,DOM10-I TIME,DOM10 MU,DOM10 VAR,DOM10 KS,DOM10 TIME,MC100 PATH TIME,MC100 NPATHS,MC100 MU,MC100 VAR,MC100 KS,SIM100-I MU,SIM100-I VAR,SIM100-I KS,SIM100-I TIME,SIM100 MU,SIM100 VAR,SIM100 KS,SIM100 TIME,DOM100 PATH TIME,DOM100-I MU,DOM100-I VAR,DOM100-I KS,DOM100-I TIME,DOM100 MU,DOM100 VAR,DOM100 KS,DOM100 TIME
35,5,128,1,0.001092366874218,4,1014.64975465008,154.611276661889,0.19292,1022.4261179259,109.311383375661,0.21606,0.001515820622444,1017.21248072081,153.421029512585,0.03616,0.00184491276741,0.001006282866001,1023.29781691144,93.1528353166324,0.26852,0.001907534897327,1017.91948139991,160.468740329774,0.05854,0.002900592982769,0.0014453753829,4,1016.86434346855,147.570996079264,0.06411,1022.27864511503,95.8754215488397,0.24332,0.001835741102695,1016.93018919373,163.009100313734,0.01803,0.002038322389126,0.003085568547249,1022.97990165811,89.4900261546005,0.26657,0.018156014382839,1017.70345978746,153.660808492617,0.03767,0.103825852274895
35,5,128,4,0.00219713896513,1,1073.21618366029,63.3607512095849,0.1686,1072.68512747532,106.034082107727,0.03275,0.002355739474297,1072.97554116112,109.545363633205,0.02505,0.002388946712017,0.001017600297928,1074.75623669689,94.4177338214398,0.07293,0.001903809607029,1073.23971607765,109.452250861946,0.02295,0.002839177846909,0.001540310680866,1,1073.23039126577,111.909616479717,0.0627,1073.13799747553,99.7373757744787,0.01924,0.001616947352886,1073.01415236804,104.007999392424,0.01801,0.001639671623707,0.003024347126484,1074.16459945946,93.7040308988403,0.05084,0.018292233347893,1073.70069570594,112.130738438802,0.03465,0.10371121019125
35,5,1024,1,0.002077303826809,1,23741.9294745846,150.903624376161,0.15702,23743.736328554,194.655676453228,0.02257,0.002370238304138,23744.0049163659,197.054816751581,0.0295,0.002407632768154,0.001598134636879,23743.7270304053,195.184475804768,0.02561,0.002997040748596,23743.3769028619,182.489730555447,0.01763,0.00649306923151,0.001730620861053,1,23745.869528561,220.061711374851,0.12464,23743.0087272389,185.477701755041,0.02234,0.001859940588474,23743.8216295568,201.108264838487,0.01908,0.001884236931801,0.00936072319746,23743.1935464362,189.816843464105,0.01966,0.036335788667202,23743.8668517416,183.361951889519,0.03971,0.395781338214874
35,5,1024,4,0.002099223434925,1,20766.0908539087,4531.9293116641,0.20746,20781.7113918312,9982.415074361,0.0413,0.002282090485096,20776.2385583493,9489.72414168061,0.02485,0.002324879169464,0.001238368451595,20775.415927003,10150.8690594593,0.02118,0.002256132662296,20781.2391281728,9965.74219361163,0.03004,0.003709301352501,0.001536302268505,1,20772.5323432076,9248.39259263433,0.07698,20782.1354757875,9844.72694450855,0.02723,0.001629121601582,20776.7946475169,10199.7301834591,0.01979,0.001650668680668,0.005055643618107,20771.9811738243,9472.96386388604,0.03299,0.022591315209866,20773.6478370326,9798.26584557102,0.02978,0.15942108631134
220,10,128,1,0.006178669631481,5,2340.25189846492,648.333280388439,0.22529,2354.75096736194,208.74782060268,0.30463,0.006927840411663,2340.54417842867,389.566004653233,0.05871,0.007708564400673,0.010041356086731,2361.89859384657,170.349385697427,0.49121,0.011409886181355,2342.5285478352,409.538188468357,0.02599,0.014546141028404,0.008428953588009,15,2344.25774597548,349.987777454696,0.0697,2363.27521754505,131.747908778536,0.54101,0.010436475276947,2341.47535731513,407.142256569943,0.04189,0.017509303987026,0.056581042706966,2370.88693751092,94.7521885926184,0.72201,0.083221971988678,2342.697966011,393.095336006522,0.02207,0.41836416721344
220,10,128,4,0.013891167938709,7,2358.30044161034,326.86875453418,0.25878,2359.66929519172,159.003456251859,0.13452,0.014881506562233,2350.9708143876,288.543883062552,0.13069,0.016314841806889,0.010777547955513,2367.59799109991,133.137819124705,0.35597,0.012150496244431,2353.91528223532,312.465915825728,0.0593,0.015048243105412,0.009110547602177,24,2357.28684360121,257.019415283978,0.05198,2367.40184171311,126.908175129429,0.35684,0.015721276402473,2356.18909682837,277.556405571167,0.0165,0.02934792637825,0.108729161322117,2370.7172079943,105.50728750886,0.47386,0.134764716029167,2355.86674164514,263.542842877561,0.04064,0.443491995334625
220,10,1024,1,0.012402653694153,3,117343.13078335,472910.070791869,0.14017,117331.028272213,677146.928025662,0.04126,0.01330604404211,117320.090944703,661298.409131803,0.03886,0.014047332108021,0.016396746039391,118275.810342509,580100.568352988,0.4859,0.018064804375172,117408.414099785,755389.44823051,0.02782,0.022167652845383,0.009605228900909,3,117403.140817017,574117.030141346,0.08773,117446.653413279,675366.675358996,0.0885,0.010512247681618,117380.629552036,683781.974606554,0.02004,0.011325746774673,0.154548108577728,118618.090681233,354915.215094709,0.66686,0.196300007402897,117353.311947268,731076.592807877,0.03269,0.885554730892181
220,10,1024,4,0.007875442504883,5,53405.2833520766,26872.9066134723,0.17763,53528.9015683452,19704.2066857579,0.2949,0.008808679878712,53413.7282224739,36936.0593074618,0.02625,0.010010778903961,0.013152115046978,53547.1457628948,18306.9782653155,0.34645,0.014786884188652,53413.8918028032,41020.9335376393,0.0298,0.019460685551167,0.009423181414604,16,53405.1662149886,48612.9332710429,0.08176,53561.6165694745,19301.7167697193,0.37797,0.011880271136761,53412.9157693,40346.5371262711,0.03467,0.023754619061947,0.114816948771477,53596.8530818764,13048.0127302026,0.499,0.148656107485294,53413.380924678,39145.5362618684,0.01809,0.646227538585663
680,15,128,1,0.01911024004221,9,3604.74378561701,419.203405139331,0.16248,3597.10769735017,325.558613141182,0.12793,0.021098837256432,3585.5539632171,489.108669165081,0.30696,0.028085626661777,0.041819497942925,3606.62539795973,213.858905456422,0.19108,0.043916426599026,3584.1455804389,512.495456965444,0.30532,0.051894769072533,0.026567071676254,80,3601.18519542961,475.695480167154,0.04378,3623.2392736268,184.713112514332,0.52193,0.062254764139652,3597.00789316869,453.940987068972,0.09571,0.652320258319378,0.373158395290375,3625.19343523712,134.572154924435,0.59794,0.416800953447819,3595.25494529741,466.898091439266,0.13718,1.29364404827356
680,15,128,4,0.038289308547974,10,3558.59694804106,122.248631692602,0.17041,3545.73122908064,227.263556386041,0.31797,0.040084347128868,3538.43932362686,380.744872375794,0.40907,0.04563545435667,0.040939815342426,3557.20672361018,189.457981936906,0.09419,0.04268803447485,3542.822602845,372.562991241799,0.31632,0.048154227435589,0.028688155114651,85,3556.75198461375,263.717516918703,0.09926,3566.24645989771,129.476341731067,0.31063,0.058899700641632,3552.33708153586,349.517587304945,0.12829,0.46930667757988,0.385498836636543,3570.78754945593,111.977130768814,0.42675,0.421429924666882,3549.82958334266,342.309843619134,0.19845,1.03063490241766
